year;month;article_id;product_type_name;colour_group_name;size;predicted_sales
2026;1;1;Coat;Purple;50;0
2026;1;2;Jacket;Red;44;0
2026;1;3;Sweater;Navy Blue;44;0
2026;1;4;Skirt;Navy Blue;50;0
2026;1;5;Skirt;Yellow;40;0
2026;1;6;Skirt;Beige;44;0
2026;1;7;Blouse;Blue;40;0
2026;1;8;Blouse;Grey;40;0
2026;1;9;Coat;Beige;52;0
2026;1;10;Trousers;Brown;42;0
2026;1;11;Shirt;Yellow;46;0
2026;1;12;Sweater;Black;42;0
2026;1;13;Sweater;Pink;42;0
2026;1;14;Shirt;White;46;0
2026;1;15;Trousers;Blue;52;0
2026;1;16;Sweater;Yellow;50;0
2026;1;17;Sweater;White;48;0
2026;1;18;Sweater;Yellow;46;0
2026;1;19;Jeans;Black;52;0
2026;1;20;Jeans;Yellow;54;0
2026;1;21;Blouse;Red;40;0
2026;1;22;Jacket;Brown;46;0
2026;1;23;Coat;Yellow;42;0
2026;1;24;Coat;Navy Blue;46;0
2026;1;25;Sweater;Red;44;0
2026;1;26;Jacket;Red;48;0
2026;1;27;Coat;Grey;42;0
2026;1;28;Blouse;Grey;46;0
2026;1;29;Shirt;Grey;48;0
2026;1;30;Shirt;Grey;44;0
2026;1;31;Skirt;Brown;50;0
2026;1;32;Jeans;Yellow;46;0
2026;1;33;Shirt;Purple;42;0
2026;1;34;Coat;Grey;42;0
2026;1;35;Dress;Beige;48;0
2026;1;36;Jeans;Pink;44;0
2026;1;37;Jeans;Black;42;0
2026;1;38;Sweater;Pink;40;0
2026;1;39;Shirt;Black;46;0
2026;1;40;Coat;Black;42;0
2026;1;41;Sweater;Black;42;0
2026;1;42;Skirt;Black;44;0
2026;1;43;Trousers;Brown;50;0
2026;1;44;Coat;Purple;46;0
2026;1;45;Dress;Navy Blue;46;0
2026;1;46;Trousers;Purple;54;0
2026;1;47;Dress;Purple;48;0
2026;1;48;Blouse;Purple;44;0
2026;1;49;Blouse;Blue;46;0
2026;1;50;Jeans;Grey;54;0
2026;1;51;Dress;Beige;42;0
2026;1;52;Coat;Brown;54;0
2026;1;53;Jeans;Black;40;0
2026;1;54;Jacket;Purple;40;0
2026;1;55;Jeans;Red;54;0
2026;1;56;Skirt;Navy Blue;44;0
2026;1;57;Dress;Pink;46;0
2026;1;58;Blouse;Beige;40;0
2026;1;59;Trousers;White;50;0
2026;1;60;Blouse;Beige;40;0
2026;1;61;Shirt;Green;46;0
2026;1;62;Sweater;Grey;40;0
